cmun,dist,secc,poblacio,codi_edar
8019,4,37,2074,DPDL
8019,4,38,1252,DPDL
8019,4,39,1170,DPDL
8019,4,40,1581,DPDL
8019,4,41,1308,DPDL
8019,4,42,1728,DPDL
8019,4,43,1601,DPDL
8019,4,44,1554,DPDL
8019,4,45,1400,DPDL
8019,4,46,2395,DPDL
8019,4,47,1838,DPDL
8019,4,48,1476,DPDL
8019,4,49,1137,DPDL
8019,4,50,2007,DPDL
8019,4,51,1613,DPDL
8019,4,52,2160,DPDL
8019,4,53,1631,DPDL
8019,4,54,987,DPDL
8019,4,55,1475,DPDL
8019,4,56,1708,DPDL
8019,4,84,1342,DPDL
8019,5,1,1765,D???
8019,5,2,1563,D???
8019,5,3,1369,D???
8019,5,4,1087,DPDL
8019,5,5,1199,DPDL
8019,5,6,1736,DPDL
8019,5,7,1813,DPDL
8019,5,8,1659,DPDL
8019,5,9,1684,DPDL
8019,5,10,1507,DPDL
8019,5,11,1397,DPDL
8019,5,12,1336,DPDL
8019,5,13,1654,DPDL
8019,5,14,1566,DPDL
8019,5,15,1514,DPDL
8019,5,16,1828,DPDL
8019,5,17,1538,DPDL
8019,5,18,1231,DPDL
8019,5,19,1656,DPDL
8019,5,20,1148,DBSS
8019,5,21,1257,DBSS
8019,5,22,1732,DBSS
8019,5,23,1453,DBSS
8019,5,24,1901,DBSS
8019,5,25,1300,DBSS
8019,5,26,1397,DBSS
8019,5,27,1398,DBSS
8019,5,28,1630,DBSS
8019,5,29,1621,DBSS
8019,5,30,1391,DBSS
8019,5,31,1602,DBSS
8019,5,32,1789,DBSS
8019,5,33,1403,DBSS
8019,5,34,1284,DBSS
8019,5,35,1035,DBSS
8019,5,36,1694,DBSS
8019,5,37,1439,DBSS
8019,5,38,1326,DBSS
8019,5,39,1533,DBSS
8019,5,40,1421,DBSS
8019,5,41,1897,DBSS
8019,5,42,1275,DBSS
8019,5,43,1450,DBSS
8019,5,44,1309,DBSS
8019,5,45,1607,DBSS
8019,5,46,1133,DBSS
8019,5,47,1227,DBSS
8019,5,48,1235,DBSS
8019,5,49,1653,DBSS
8019,5,50,1602,DBSS
8019,5,51,1594,DBSS
8019,5,52,1421,DBSS
8019,5,53,1486,DBSS
8019,5,54,1040,DBSS
8019,5,55,1391,DBSS
8019,5,56,1182,DBSS
8019,5,57,1639,DBSS
8019,5,58,1524,DBSS
8019,5,59,1526,DBSS
8019,5,60,1144,DBSS
8019,5,61,1435,DBSS
8019,5,62,1619,DBSS
8019,5,63,1538,DBSS
8019,5,64,1585,DBSS
8019,5,65,1635,DBSS
8019,5,66,1322,DBSS
8019,5,67,1229,DBSS
8019,5,68,1520,DBSS
8019,5,69,1732,DBSS
8019,5,70,1415,DBSS
8019,5,71,1614,DBSS
8019,5,72,1703,DBSS
8019,5,73,1591,DBSS
8019,5,74,1654,DBSS
8019,5,75,1833,DBSS
8019,5,76,1404,DBSS
8019,5,77,1436,DBSS
8019,5,78,2088,DBSS
8019,5,79,1261,DBSS
8019,5,80,1360,DBSS
8019,5,81,1576,DBSS
8019,5,82,1610,DBSS
8019,5,83,1264,DBSS
8019,5,84,1327,DBSS
8019,5,85,1309,DBSS
8019,5,86,1332,DBSS
8019,5,87,1584,DBSS
8019,5,88,1733,DBSS
8019,5,89,1767,DBSS
8019,5,90,1877,DBSS
8019,5,91,1548,DBSS
8019,5,92,1606,DBSS
8019,5,93,1094,DBSS
8019,5,94,2699,DBSS
8019,5,95,1654,DBSS
8019,5,96,1135,DBSS
8019,5,97,1613,DBSS
8019,5,98,1541,DBSS
8019,6,1,1165,DBSS
8019,6,2,1516,DBSS
8019,6,3,2262,DBSS
8019,6,4,1428,DBSS
8019,6,6,1024,DBSS
8019,6,7,1947,DBSS
8019,6,8,1993,DBSS
